title,Cant_Inscriptos,course_type,institution,Level,subject,language,Duracion_Curso,Precio
FlashDiet: Aprende a comer sano,"48,105",Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Food & Nutrition,Español,5 Weeks,FREE-Add a Verified Certificate for $50 USD
CS50's Understanding Technology,"50,030",Self-paced on your time,Harvard University,Introductory,Computer Science,English,6 Weeks,FREE-Add a Verified Certificate for $90 USD
Introduction to Aerospace Structures and Materials,"37,126",Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,8 Weeks,FREE-Add a Verified Certificate for $50 USD
Visualizing Data with Python,"42,101",Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,5 Weeks,FREE-Add a Verified Certificate for $39 USD
Success: Practical Thinking Skills,"24,414",Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Philosophy & Ethics,English,4 Weeks,FREE-Add a Verified Certificate for $50 USD
English for Doing Business in Asia – Speaking,"68,422",Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Humanities,English,7 Weeks,FREE-Add a Verified Certificate for $60 USD
Nutrition and Health: Macronutrients and Overnutrition,"208,582",Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,9 Weeks,FREE-Add a Verified Certificate for $99 USD
"Contemporary China: The People's Republic, Taiwan, and Hong Kong","66,771",Self-paced on your time,Harvard University,Introductory,History,English,15 Weeks,FREE-Add a Verified Certificate for $139 USD
Introduction to Clinical Psychology,"57,234",Self-paced on your time,The University of Queensland,Introductory,Humanities,English,7 Weeks,FREE-Add a Verified Certificate for $99 USD
Modern Masterpieces of World Literature,"48,049",Self-paced on your time,Harvard University,Introductory,Literature,English,8 Weeks,FREE-Add a Verified Certificate for $99 USD
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media","24,259",Self-paced on your time,Harvard University,Introductory,Social Sciences,English,4 Weeks,FREE-Add a Verified Certificate for $49 USD
Applied Scrum for Agile Project Management,"55,293",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,4 Weeks,FREE-Add a Verified Certificate for $199 USD
Corporate Finance,"62,798",Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,5 Weeks,FREE-Add a Verified Certificate for $150 USD
Judaism Through Its Scriptures,"50,540",Self-paced on your time,Harvard University,Introductory,Humanities,English,4 Weeks,FREE-Add a Verified Certificate for $99 USD
Excel avanzado: importación y análisis de datos,"47,184",Self-paced on your time,Universitat Politècnica de Valencia,Advanced,Data Analysis & Statistics,Español,8 Weeks,FREE-Add a Verified Certificate for $75 USD
CSS Basics,"95,163",Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,English,5 Weeks,FREE-Add a Verified Certificate for $199 USD
Unlocking Information Security: Part I,"19,905",Self-paced on your time,IsraelX-Tel Aviv University,Intermediate,Computer Science,English,6 Weeks,FREE-Add a Verified Certificate for $149 USD
Becoming an Effective Leader,"55,937",Self-paced on your time,The University of Queensland,Intermediate,Communication,English,10 Weeks,FREE-Add a Verified Certificate for $99 USD
Digital Branding and Engagement,"122,977",Self-paced on your time,Curtin University,Intermediate,Communication,English,4 Weeks,FREE-Add a Verified Certificate for $99 USD
Introduction to Cybersecurity,"73,021",Self-paced on your time,University of Washington,Introductory,Computer Science,English,6 Weeks,FREE-Add a Verified Certificate for $199 USD
General Academic English|生活英语进阶,"17,526",Self-paced on your time,Tsinghua University,Introductory,Language,English,8 Weeks,FREE-Add a Verified Certificate for $49 USD
Gestión de personas: Recursos Humanos,"19,687",Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,5 Weeks,FREE-Add a Verified Certificate for $119 USD
From Poverty to Prosperity: Understanding Economic Development,"91,062",Self-paced on your time,University of Oxford,Intermediate,Social Sciences,English,6 Weeks,FREE-Add a Verified Certificate for $149 USD
Medical Terminology,"31,354",Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,8 Weeks,FREE-Add a Verified Certificate for $79 USD
Ancient Masterpieces of World Literature,"48,899",Self-paced on your time,Harvard University,Introductory,Literature,English,6 Weeks,FREE-Add a Verified Certificate for $99 USD
Shakespeare's The Merchant of Venice: Shylock,"23,283",Self-paced on your time,Harvard University,Introductory,Humanities,English,4 Weeks,FREE-Add a Verified Certificate for $49 USD
Gestión del estrés y Mindfulness,"15,965",Self-paced on your time,Universidades Anáhuac,Introductory,Health & Safety,Español,4 Weeks,FREE-Add a Verified Certificate for $49 USD
Behavioural Economics in Action,"66,764",Self-paced on your time,University of Toronto,Introductory,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $139 USD
Finance for Everyone: Smart Tools for Decision-Making,"45,029",Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $49 USD
Creating Innovative Business Models,"12,227",Self-paced on your time,"University System of Maryland-The University of Maryland, College Park",Introductory,Business & Management,English,4 Weeks,FREE-Add a Verified Certificate for $149 USD
u.lab: Leading From the Emerging Future,"79,424",Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,14 Weeks,FREE-Add a Verified Certificate for $99 USD
Electric Cars: Introduction,"56,171",Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,4 Weeks,FREE-Add a Verified Certificate for $50 USD
Inteligencia Artificial para todos: Domina los fundamentos,"11,764",Self-paced on your time,IBM,Introductory,Computer Science,Español,4 Weeks,FREE-Add a Verified Certificate for $49 USD
Marketing Analytics,"55,228",Instructor-led on a course schedule,Columbia University,Advanced,Business & Management,English,12 Weeks,FREE-Add a Verified Certificate for $249 USD
Introducción a la Regulación Emocional basada en Mindfulness,"20,634",Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Health & Safety,Español,4 Weeks,FREE-Add a Verified Certificate for $49 USD
Design Thinking Fundamentals,"56,446",Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $299 USD
Basic Spanish 3: Getting there,"17,569",Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Language,English,4 Weeks,FREE-Add a Verified Certificate for $50 USD
Mi propia huerta orgánica,"11,346",Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Biology & Life Sciences,Español,4 Weeks,FREE-Add a Verified Certificate for $29 USD
Sustainability in Architecture: An Interdisciplinary Introduction,"31,352",Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Architecture,English,4 Weeks,FREE-Add a Verified Certificate for $50 USD
Gestión de riesgos en proyectos de desarrollo,"47,676",Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Español,10 Weeks,FREE-Add a Verified Certificate for $25 USD
Python Data Structures,"36,369",Self-paced on your time,The University of Michigan,Introductory,Computer Science,English,7 Weeks,FREE-Add a Verified Certificate for $49 USD
The Science and Business of Biotechnology,"17,039",Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Business & Management,English,16 Weeks,FREE-Add a Verified Certificate for $49 USD
Finance Essentials,"63,666",Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $79 USD
Introduction to the Internet of Things (IoT),"89,421",Self-paced on your time,Curtin University,Introductory,Computer Science,English,6 Weeks,FREE-Add a Verified Certificate for $149 USD
'Talk to me': Improving mental health and suicide prevention in young adults,"11,481",Self-paced on your time,Curtin University,Introductory,Health & Safety,English,6 Weeks,FREE-Add a Verified Certificate for $139 USD
Disaster Medicine Training,"10,937",Self-paced on your time,Stanford University,Introductory,Medicine,English,8 Weeks,FREE-Add a Verified Certificate for $50 USD
Nutrition and Health: Human Microbiome,"44,079",Self-paced on your time,Wageningen University & Research,Introductory,Health & Safety,English,6 Weeks,FREE-Add a Verified Certificate for $49 USD
Customer Relationship Management,"53,085",Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $50 USD
Islam Through Its Scriptures,"65,430",Self-paced on your time,Harvard University,Introductory,Humanities,English,4 Weeks,FREE-Add a Verified Certificate for $99 USD
Mechatronics Revolution: Fundamentals and Core Concepts,"11,619",Self-paced on your time,The Georgia Institute of Technology,Introductory,Engineering,English,16 Weeks,FREE-Add a Verified Certificate for $149 USD
Accounting for Decision-Making,"57,710",Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,7 Weeks,FREE-Add a Verified Certificate for $150 USD
C Programming: Language Foundations,"46,400",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,7 Weeks,FREE-Add a Verified Certificate for $49 USD
Big Data sin misterios,"65,564",Self-paced on your time,Inter-American Development Bank,Intermediate,Data Analysis & Statistics,Español,10 Weeks,FREE-Add a Verified Certificate for $25 USD
Becoming a Successful Leader (Inclusive Leadership Training),"215,705",Self-paced on your time,Catalyst,Introductory,Communication,English,4 Weeks,FREE-Add a Verified Certificate for $49 USD
"English for Journalists, Part 1","50,847",Self-paced on your time,"University of California, Berkeley",Intermediate,Communication,English,5 Weeks,FREE-Add a Verified Certificate for $139 USD
Introduction to Networking,"16,134",Self-paced on your time,New York University,Introductory,Computer Science,English,7 Weeks,FREE-Add a Verified Certificate for $150 USD
Accounting Essentials,"58,463",Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $79 USD
Introduction to Java Programming: Starting to code in Java,"325,554",Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Computer Science,English,5 Weeks,FREE-Add a Verified Certificate for $149 USD
European Paintings: From Leonardo to Rembrandt to Goya,"60,734",Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Humanities,English,7 Weeks,FREE-Add a Verified Certificate for $99 USD
Java Programming Fundamentals,"12,042",Self-paced on your time,Universidad Galileo,Intermediate,Engineering,English,5 Weeks,FREE-Add a Verified Certificate for $49 USD
"Hollywood: History, Industry, Art","50,033",Self-paced on your time,University of Pennsylvania,Introductory,Communication,English,4 Weeks,FREE-Add a Verified Certificate for $169 USD
Data Science Tools,"15,627",Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,7 Weeks,FREE-Add a Verified Certificate for $39 USD
Statistical Thinking for Data Science and Analytics,"198,861",Self-paced on your time,Columbia University,Introductory,Computer Science,English,5 Weeks,FREE-Add a Verified Certificate for $99 USD
Philosophy and Critical Thinking,"97,175",Self-paced on your time,The University of Queensland,Introductory,Humanities,English,6 Weeks,FREE-Add a Verified Certificate for $99 USD
